,Set,MSE,MAE,RMSE,R2,MAPE,MAX_ERROR,EXP_VAR_SCORE
0,test,264.5091796465152,10.359311981072421,16.26373818181156,-0.22262111831727793,0.41632814627904463,70.28666465759278,0.0
1,train,438.0460695874304,13.68854123341928,20.929550152533867,-0.3862444719242668,0.5130689699709301,70.29666465759277,0.0
